external_gene_name
ENSG00000004487	KDM1A
ENSG00000169862	CTNND2
ENSG00000170571	EMB
ENSG00000171495	MROH2B
ENSG00000171522	PTGER4
ENSG00000171617	ENC1
ENSG00000172058	SERF1A
ENSG00000172062	SMN1
ENSG00000172239	PAIP1
ENSG00000172244	C5orf34
ENSG00000172262	ZNF131
ENSG00000173545	ZNF622
ENSG00000176788	BASP1
ENSG00000176928	GCNT4
ENSG00000177058	SLC38A9
ENSG00000177453	NIM1K
ENSG00000177721	ANXA2R
ENSG00000177738	AC025171.1
ENSG00000178175	ZNF366
ENSG00000178722	C5orf64
ENSG00000178996	SNX18
ENSG00000179978	NAIPP2
ENSG00000182383	RPL27AP5
ENSG00000182836	PLCXD3
ENSG00000183323	CCDC125
ENSG00000183474	GTF2H2C
ENSG00000183580	FBXL7
ENSG00000183654	MARCHF11
ENSG00000183666	GUSBP1
ENSG00000185305	ARL15
ENSG00000186105	LRRC70
ENSG00000186479	RGS7BP
ENSG00000188725	SMIM15
ENSG00000188850	AC114947.1
ENSG00000189045	ANKDD1B
ENSG00000196302	AC146944.1
ENSG00000197603	CPLANE1
ENSG00000197822	OCLN
ENSG00000197860	SGTB
ENSG00000198780	FAM169A
ENSG00000198865	CCDC152
ENSG00000199279	RNU6-661P
ENSG00000199552	AC093264.1
ENSG00000199731	RNU6-1079P
ENSG00000199765	RNU6-363P
ENSG00000201623	RNU6-923P
ENSG00000205571	SMN2
ENSG00000205572	SERF1B
ENSG00000205765	C5orf51
ENSG00000205838	TTC23L
ENSG00000205976	AC091951.1
ENSG00000206814	AC026790.1
ENSG00000207052	RNU6-378P
ENSG00000207333	RNU6-680P
ENSG00000207336	RNU6-658P
ENSG00000207756	MIR580
ENSG00000207956	MIR579
ENSG00000212296	SNORD72
ENSG00000212363	AC010501.1
ENSG00000212561	RNU6-381P
ENSG00000212567	AC008810.1
ENSG00000213430	HSPD1P1
ENSG00000213830	CFL1P5
ENSG00000213864	EEF1B2P2
ENSG00000213891	RPL3P6
ENSG00000213896	AC109486.1
ENSG00000213940	AC026477.1
ENSG00000213949	ITGA1
ENSG00000213956	AC112187.1
ENSG00000214108	TPT1P5
ENSG00000214944	ARHGEF28
ENSG00000215006	CHCHD2P2
ENSG00000215032	GNL3LP1
ENSG00000215068	AC025171.2
ENSG00000215158	AC138409.2
ENSG00000215196	BASP1-AS1
ENSG00000215217	C5orf49
ENSG00000215630	GUSBP9
ENSG00000217416	ISCA1P1
ENSG00000217791	ASS1P9
ENSG00000220986	AC010273.1
ENSG00000222054	RNA5SP177
ENSG00000222560	RNU4-43P
ENSG00000222960	RNU6-272P
ENSG00000223361	FTH1P10
ENSG00000224282	AC010469.1
ENSG00000224993	RPL29P12
ENSG00000225230	AC008937.1
ENSG00000226221	RPL26P19
ENSG00000226259	GTF2H2B
ENSG00000226432	AC010342.1
ENSG00000226544	RPL7P22
ENSG00000227908	AC016596.1
ENSG00000228212	OFD1P17
ENSG00000229666	MAST4-AS1
ENSG00000230829	AC025181.1
ENSG00000232517	AC112198.2
ENSG00000233847	ERCC8-AS1
ENSG00000234865	ADH5P5
ENSG00000235558	AC146949.1
ENSG00000235635	AC016644.1
ENSG00000236068	AC091862.1
ENSG00000239112	SNORD123
ENSG00000239870	AC112206.1
ENSG00000240052	AC108114.1
ENSG00000240376	AC010343.1
ENSG00000240412	RPL5P15
ENSG00000240535	AC034238.2
ENSG00000240627	AC026798.1
ENSG00000241668	RPL19P11
ENSG00000241739	AC010469.2
ENSG00000241829	RPL21P54
ENSG00000242110	AMACR
ENSG00000242198	AC008897.1
ENSG00000242493	RN7SL37P
ENSG00000242602	AC008953.1
ENSG00000243538	RPS26P28
ENSG00000243592	RPL17P22
ENSG00000243744	AC016546.1
ENSG00000244073	RPS4XP6
ENSG00000244361	RPL30P7
ENSG00000244717	RPS27P14
ENSG00000244748	RN7SL153P
ENSG00000244968	LIFR-AS1
ENSG00000245662	LINC02211
ENSG00000245729	LINC02226
ENSG00000246016	LINC01513
ENSG00000247345	AC092343.1
ENSG00000247372	AC008897.2
ENSG00000247516	MIR4458HG
ENSG00000247796	AC008966.1
ENSG00000247911	HMGN1P12
ENSG00000247993	FOXD1-AS1
ENSG00000248092	NNT-AS1
ENSG00000248131	LINC01194
ENSG00000248148	AC114954.1
ENSG00000248150	LINC02150
ENSG00000248216	KCTD9P5
ENSG00000248234	AC091839.1
ENSG00000248240	AC114956.1
ENSG00000248279	LINC02120
ENSG00000248285	AC122707.1
ENSG00000248286	AC140172.1
ENSG00000248288	AC008868.1
ENSG00000248455	LINC02217
ENSG00000248457	LINC02220
ENSG00000248464	FGF10-AS1
ENSG00000248475	AC016642.1
ENSG00000248525	AC026787.1
ENSG00000248554	C5orf34-AS1
ENSG00000248587	GDNF-AS1
ENSG00000248605	AC022140.1
ENSG00000248624	AC022447.2
ENSG00000248664	AC010273.2
ENSG00000248668	OXCT1-AS1
ENSG00000248673	LINC01331
ENSG00000248727	LINC01948
ENSG00000248733	AC008852.1
ENSG00000248783	AC106771.1
ENSG00000248789	LINC02118
ENSG00000248791	AC010627.1
ENSG00000248813	AC022447.3
ENSG00000248854	HNRNPH1P3
ENSG00000248873	SERBP1P6
ENSG00000248874	C5orf17
ENSG00000248884	AC010280.2
ENSG00000248898	AC022126.1
ENSG00000248930	AC020893.1
ENSG00000248968	AC012640.1
ENSG00000248969	AC137810.1
ENSG00000249014	HMGN2P4
ENSG00000249069	LINC01033
ENSG00000249085	AC035140.1
ENSG00000249089	AIG1P1
ENSG00000249092	PPIAP77
ENSG00000249142	AC074134.1
ENSG00000249149	AC099522.1
ENSG00000249166	AC092336.1
ENSG00000249174	AC106744.1
ENSG00000249198	AC106822.1
ENSG00000249199	AC026785.3
ENSG00000249236	AC008892.1
ENSG00000249270	KATNBL1P4
ENSG00000249279	LINC02057
ENSG00000249286	AMD1P3
ENSG00000249295	AC145146.1
ENSG00000249335	AC093523.2
ENSG00000249352	LINC02198
ENSG00000249360	TOMM40P3
ENSG00000249364	AC112206.2
ENSG00000249396	LINC02212
ENSG00000249405	AC022441.1
ENSG00000249437	NAIP
ENSG00000249485	RBBP4P1
ENSG00000249492	AC114956.2
ENSG00000249572	AC034231.1
ENSG00000249668	KRT18P56
ENSG00000249721	AC112206.3
ENSG00000249736	LINC02242
ENSG00000249740	OSMR-AS1
ENSG00000249743	AC116345.1
ENSG00000249774	AC025458.1
ENSG00000249781	LINC02112
ENSG00000249850	KRT18P31
ENSG00000249855	EEF1A1P19
ENSG00000249856	AC116337.3
ENSG00000249894	AC024581.1
ENSG00000249899	AC025180.1
ENSG00000249937	LINC02223
ENSG00000250048	LINC00603
ENSG00000250066	AC093248.1
ENSG00000250071	AC093214.1
ENSG00000250118	AC114300.1
ENSG00000250122	AC122694.1
ENSG00000250148	KRT8P31
ENSG00000250155	AC008957.1
ENSG00000250182	EEF1A1P13
ENSG00000250198	LINC02199
ENSG00000250332	AC010460.4
ENSG00000250337	PURPL
ENSG00000250421	AC106798.1
ENSG00000250448	AC092335.1
ENSG00000250455	AC117532.1
ENSG00000250461	AC122718.1
ENSG00000250480	AC034244.3
ENSG00000250492	INTS6P1
ENSG00000250526	CCT6P2
ENSG00000250587	HPRT1P2
ENSG00000250600	ROPN1L-AS1
ENSG00000250619	AC021088.1
ENSG00000250669	AC112206.4
ENSG00000250694	AC010387.1
ENSG00000250697	AC010343.3
ENSG00000250722	SELENOP
ENSG00000250761	AC093305.1
ENSG00000250764	AC025178.2
ENSG00000250767	AC139783.1
ENSG00000250786	SNHG18
ENSG00000250787	HMGN1P17
ENSG00000250814	LINC02221
ENSG00000250816	DCAF13P2
ENSG00000250822	LINC02111
ENSG00000250853	RNF138P1
ENSG00000250914	AC139783.2
ENSG00000250961	AC025470.2
ENSG00000250974	LINC02196
ENSG00000251062	AC025459.1
ENSG00000251107	PDCD5P2
ENSG00000251131	AC025171.3
ENSG00000251141	MRPS30-DT
ENSG00000251250	AC091951.4
ENSG00000251273	LINC02228
ENSG00000251279	SMIM15-AS1
ENSG00000251294	AC091885.2
ENSG00000251306	NDUFB4P2
ENSG00000251307	AC026704.1
ENSG00000251365	LINC02236
ENSG00000251370	SEMA5A-AS1
ENSG00000251443	LINC02160
ENSG00000251467	AC020893.2
ENSG00000251478	AC008817.1
ENSG00000251493	FOXD1
ENSG00000251518	LINC02110
ENSG00000251543	LINC02230
ENSG00000251548	AC106760.2
ENSG00000251573	LINC02106
ENSG00000251593	MSNP1
ENSG00000251601	AC022441.2
ENSG00000251613	AC063979.2
ENSG00000251629	LINC02241
ENSG00000251654	AC099499.1
ENSG00000251880	RNU7-75P
ENSG00000251887	RNU6-760P
ENSG00000251990	RNA5SP180
ENSG00000252083	AC026784.2
ENSG00000252671	AC012640.3
ENSG00000252904	AC010359.1
ENSG00000252908	RNU6-1003P
ENSG00000253203	GUSBP3
ENSG00000253251	SHLD3
ENSG00000253366	GUSBP16
ENSG00000253744	AC025442.1
ENSG00000253766	AC091946.1
ENSG00000253787	LINC02219
ENSG00000254701	AC138866.2
ENSG00000254893	AC113404.3
ENSG00000255883	FUNDC2P1
ENSG00000259663	AC010478.1
ENSG00000259786	LINC02109
ENSG00000259802	AC012640.4
ENSG00000261360	AC010491.1
ENSG00000261604	AC114947.2
ENSG00000262211	AC008914.1
ENSG00000263593	MIR4804
ENSG00000264281	AC016596.3
ENSG00000265135	MIR5687
ENSG00000265421	AC016601.1
ENSG00000268942	CKS1BP3
ENSG00000269961	AC010359.2
ENSG00000270558	AC025449.1
ENSG00000271045	NDUFB9P1
ENSG00000271714	AC010501.2
ENSG00000271788	AC008875.1
ENSG00000271874	AC025754.2
ENSG00000271892	AC026790.2
ENSG00000271980	AC012640.6
ENSG00000272049	AC091965.4
ENSG00000272057	AC016575.1
ENSG00000272081	AC008972.2
ENSG00000272086	AC025181.2
ENSG00000272144	AC025171.4
ENSG00000272308	AC104113.1
ENSG00000272323	AC026801.2
ENSG00000272324	AC012629.2
ENSG00000272335	AC093297.2
ENSG00000272370	AC092354.2
ENSG00000272525	AC099522.2
ENSG00000273294	C1QTNF3-AMACR
ENSG00000273841	TAF9
ENSG00000274441	AC008957.2
ENSG00000277073	MIR6131
ENSG00000278487	AC106800.4
ENSG00000279075	AC091965.5
ENSG00000279400	AC008957.3
ENSG00000279531	AC022140.2
ENSG00000279557	AC010435.1
ENSG00000279638	AC008873.1
ENSG00000279698	AC027335.2
ENSG00000279883	AC010480.1
ENSG00000279985	AC008498.2
ENSG00000280187	AC022107.1
ENSG00000280368	AC034229.5
ENSG00000280369	AC012640.7
ENSG00000280438	AC091932.4
ENSG00000285689	AC091951.5
ENSG00000285804	AC025774.1
ENSG00000285967	NIPBL-DT
ENSG00000038427	VCAN
ENSG00000039319	ZFYVE16
ENSG00000043143	JADE2
ENSG00000047188	YTHDC2
ENSG00000053108	FSTL4
ENSG00000058729	RIOK2
ENSG00000061455	PRDM6
ENSG00000064651	SLC12A2
ENSG00000064652	SNX24
ENSG00000064692	SNCAIP
ENSG00000066583	ISOC1
ENSG00000069011	PITX1
ENSG00000069018	TRPC7
ENSG00000072364	AFF4
ENSG00000072682	P4HA2
ENSG00000080709	KCNN2
ENSG00000081059	TCF7
ENSG00000081189	MEF2C
ENSG00000085365	SCAMP1
ENSG00000092421	SEMA6A
ENSG00000112874	NUDT12
ENSG00000112893	MAN2A1
ENSG00000113083	LOX
ENSG00000113231	PDE8B
ENSG00000113273	ARSB
ENSG00000113296	THBS4
ENSG00000113318	MSH3
ENSG00000113319	RASGRF2
ENSG00000113356	POLR3G
ENSG00000113368	LMNB1
ENSG00000113369	ARRDC3
ENSG00000113391	FAM172A
ENSG00000113396	SLC27A6
ENSG00000113441	LNPEP
ENSG00000113522	RAD50
ENSG00000113525	IL5
ENSG00000113532	ST8SIA4
ENSG00000113558	SKP1
ENSG00000113583	C5orf15
ENSG00000113615	SEC24A
ENSG00000113621	TXNDC15
ENSG00000113648	MACROH2A1
ENSG00000113658	SMAD5
ENSG00000118985	ELL2
ENSG00000119048	UBE2B
ENSG00000120708	TGFBI
ENSG00000125347	IRF1
ENSG00000127184	COX7C
ENSG00000129595	EPB41L4A
ENSG00000129596	CDO1
ENSG00000129625	REEP5
ENSG00000131435	PDLIM4
ENSG00000131437	KIF3A
ENSG00000131730	CKMT2
ENSG00000131732	ZCCHC9
ENSG00000132570	PCBD2
ENSG00000132837	DMGDH
ENSG00000132840	BHMT2
ENSG00000132842	AP3B1
ENSG00000132846	ZBED3
ENSG00000133302	SLF1
ENSG00000133835	HSD17B4
ENSG00000134480	CCNH
ENSG00000134970	TMED7
ENSG00000134982	APC
ENSG00000134986	NREP
ENSG00000134987	WDR36
ENSG00000138829	FBN2
ENSG00000145681	HAPLN1
ENSG00000145685	LHFPL2
ENSG00000145687	SSBP2
ENSG00000145692	BHMT
ENSG00000145703	IQGAP2
ENSG00000145715	RASA1
ENSG00000145721	LIX1
ENSG00000145723	GIN1
ENSG00000145725	PPIP5K2
ENSG00000145730	PAM
ENSG00000145743	FBXL17
ENSG00000145757	SPATA9
ENSG00000145777	TSLP
ENSG00000145779	TNFAIP8
ENSG00000145780	FEM1C
ENSG00000145781	COMMD10
ENSG00000145782	ATG12
ENSG00000145794	MEGF10
ENSG00000145808	ADAMTS19
ENSG00000145824	CXCL14
ENSG00000145826	LECT2
ENSG00000145832	SLC25A48
ENSG00000145833	DDX46
ENSG00000146021	KLHL3
ENSG00000151292	CSNK1G3
ENSG00000151304	SRFBP1
ENSG00000151422	FER
ENSG00000152348	ATG10
ENSG00000152377	SPOCK1
ENSG00000152380	FAM151B
ENSG00000152409	JMY
ENSG00000152413	HOMER1
ENSG00000152422	XRCC4
ENSG00000152495	CAMK4
ENSG00000152503	TRIM36
ENSG00000152700	SAR1B
ENSG00000152705	CATSPER3
ENSG00000153037	SRP19
ENSG00000153113	CAST
ENSG00000153140	CETN3
ENSG00000153347	FAM81B
ENSG00000153922	CHD1
ENSG00000155324	GRAMD2B
ENSG00000155329	ZCCHC10
ENSG00000158985	CDC42SE2
ENSG00000158987	RAPGEF6
ENSG00000164176	EDIL3
ENSG00000164180	TMEM161B
ENSG00000164199	ADGRV1
ENSG00000164209	SLC25A46
ENSG00000164211	STARD4
ENSG00000164219	PGGT1B
ENSG00000164220	F2RL2
ENSG00000164221	CCDC112
ENSG00000164241	C5orf63
ENSG00000164244	PRRC1
ENSG00000164251	F2RL1
ENSG00000164252	AGGF1
ENSG00000164253	WDR41
ENSG00000164291	ARSK
ENSG00000164292	RHOBTB3
ENSG00000164300	SERINC5
ENSG00000164307	ERAP1
ENSG00000164308	ERAP2
ENSG00000164309	CMYA5
ENSG00000164329	TENT2
ENSG00000164402	SEPTIN8
ENSG00000164403	SHROOM1
ENSG00000164404	GDF9
ENSG00000164405	UQCRQ
ENSG00000164406	LEAP2
ENSG00000164615	CAMLG
ENSG00000164616	FBXL21P
ENSG00000164621	SMAD5-AS1
ENSG00000164902	PHAX
ENSG00000164904	ALDH7A1
ENSG00000168916	ZNF608
ENSG00000168938	PPIC
ENSG00000168944	CEP120
ENSG00000169567	HINT1
ENSG00000169570	DTWD2
ENSG00000170606	HSPA4
ENSG00000171444	MCC
ENSG00000171530	TBCA
ENSG00000171540	OTP
ENSG00000171643	S100Z
ENSG00000172497	ACOT12
ENSG00000172795	DCP2
ENSG00000172869	DMXL1
ENSG00000172901	LVRN
ENSG00000173221	GLRX
ENSG00000173926	MARCHF3
ENSG00000173930	SLCO4C1
ENSG00000174132	FAM174A
ENSG00000174136	RGMB
ENSG00000174695	TMEM167A
ENSG00000175426	PCSK1
ENSG00000175449	RFESD
ENSG00000175471	MCTP1
ENSG00000175745	NR2F1
ENSG00000175749	EIF3KP1
ENSG00000176018	LYSMD3
ENSG00000176055	MBLAC2
ENSG00000176183	AC233964.1
ENSG00000177034	MTX3
ENSG00000177733	HNRNPA0
ENSG00000177879	AP3S1
ENSG00000181104	F2R
ENSG00000181751	MACIR
ENSG00000181904	C5orf24
ENSG00000184188	AC026410.1
ENSG00000184349	EFNA5
ENSG00000184838	PRR16
ENSG00000185261	KIAA0825
ENSG00000185641	AC034236.1
ENSG00000186367	MINAR2
ENSG00000186468	RPS23
ENSG00000186687	LYRM7
ENSG00000186952	TMEM232
ENSG00000189127	ANKRD34B
ENSG00000197208	SLC22A4
ENSG00000197375	SLC22A5
ENSG00000197575	RPS17P2
ENSG00000197744	PTMAP2
ENSG00000198108	CHSY3
ENSG00000198677	TTC37
ENSG00000198868	MTND4LP30
ENSG00000198944	SOWAHA
ENSG00000198961	PJA2
ENSG00000199455	RNA5SP191
ENSG00000200884	AC008850.1
ENSG00000201274	RNA5SP192
ENSG00000202082	RNU6-290P
ENSG00000202092	RNA5SP190
ENSG00000202157	RNU4-11P
ENSG00000202512	RN7SKP230
ENSG00000202533	AC116366.1
ENSG00000205089	CCNI2
ENSG00000205302	SNX2
ENSG00000205359	SLCO6A1
ENSG00000205464	ATP6AP1L
ENSG00000206698	RNU1-73P
ENSG00000207177	AC008650.1
ENSG00000207290	AC025169.1
ENSG00000207404	AC109481.1
ENSG00000207459	RNU6-1311P
ENSG00000212122	TSSK1B
ENSG00000212370	RNU6-482P
ENSG00000212457	RNU6-644P
ENSG00000212643	ZRSR2P1
ENSG00000213585	VDAC1
ENSG00000213630	BOLA3P3
ENSG00000213661	AC106806.1
ENSG00000213730	POLD2P1
ENSG00000213757	RPS3AP20
ENSG00000213763	ACTBP2
ENSG00000214784	RPS3AP21
ENSG00000214794	KRT18P42
ENSG00000214853	PPIAP79
ENSG00000214857	SEM1P1
ENSG00000214890	AC020937.1
ENSG00000222266	RNU6-757P
ENSG00000222706	RN7SKP89
ENSG00000223442	TH2LCRR
ENSG00000223652	AC106786.1
ENSG00000224032	EPB41L4A-AS1
ENSG00000224186	C5orf66
ENSG00000225165	RTRAFP2
ENSG00000225407	AC025188.1
ENSG00000226926	PDZPH1P
ENSG00000227087	RBMX2P5
ENSG00000227616	AC063976.3
ENSG00000227836	AC008850.2
ENSG00000228716	DHFR
ENSG00000229738	AC010240.2
ENSG00000229855	AC008568.1
ENSG00000230561	CCDC192
ENSG00000230612	AC004039.1
ENSG00000230929	AC099513.1
ENSG00000231585	AC034228.1
ENSG00000232633	AC079465.1
ENSG00000232916	HMGN2P27
ENSG00000233006	MIR3936HG
ENSG00000233828	LINC01949
ENSG00000234290	AC116366.2
ENSG00000234292	AC123595.1
ENSG00000234758	AC034228.2
ENSG00000235253	AC010240.3
ENSG00000235275	KRT18P16
ENSG00000236447	ATG10-IT1
ENSG00000237187	NR2F1-AS1
ENSG00000237190	CDKN2AIPNL
ENSG00000237714	P4HA2-AS1
ENSG00000238000	AC116347.1
ENSG00000238160	LINC02863
ENSG00000238363	SNORA13
ENSG00000238835	SCARNA18
ENSG00000238961	SNORA47
ENSG00000239528	RPS14P8
ENSG00000239642	MEIKIN
ENSG00000240003	RPL7P24
ENSG00000240388	AC008799.1
ENSG00000241243	RN7SL629P
ENSG00000242477	AC091429.1
ENSG00000242706	RPS27AP9
ENSG00000242814	AC113398.1
ENSG00000242858	AC020899.1
ENSG00000243304	AC008494.1
ENSG00000243385	AC094085.1
ENSG00000243414	TICAM2
ENSG00000243648	AC109454.1
ENSG00000243859	RPL5P17
ENSG00000244088	RPL23AP44
ENSG00000244192	AC113367.1
ENSG00000244245	AC133134.1
ENSG00000244363	RPL7P23
ENSG00000244921	MTCYBP18
ENSG00000245526	LINC00461
ENSG00000245556	SCAMP1-AS1
ENSG00000245864	MEF2C-AS2
ENSG00000245937	LINC01184
ENSG00000246316	AC010230.1
ENSG00000246763	RGMB-AS1
ENSG00000246859	STARD4-AS1
ENSG00000247121	AC009126.1
ENSG00000247572	CKMT2-AS1
ENSG00000247627	MTND4P12
ENSG00000247828	TMEM161B-AS1
ENSG00000247877	AC021086.1
ENSG00000248105	AC008885.1
ENSG00000248107	LINC02039
ENSG00000248112	AC108174.1
ENSG00000248170	AC117522.1
ENSG00000248268	AC010275.1
ENSG00000248295	DDX43P1
ENSG00000248296	AC025465.1
ENSG00000248309	MEF2C-AS1
ENSG00000248323	LUCAT1
ENSG00000248350	AC010265.1
ENSG00000248400	ST13P12
ENSG00000248428	AC010395.1
ENSG00000248445	SEMA6A-AS1
ENSG00000248482	AC008406.1
ENSG00000248483	POU5F2
ENSG00000248489	LINC02062
ENSG00000248555	LINC01339
ENSG00000248559	AC109454.2
ENSG00000248569	AC026410.3
ENSG00000248588	AC008517.1
ENSG00000248634	AC008588.1
ENSG00000248648	AC113410.2
ENSG00000248663	LINC00992
ENSG00000248734	AC008906.1
ENSG00000248752	AC116362.1
ENSG00000248794	AC026436.1
ENSG00000248827	AC024587.1
ENSG00000248901	LINC01846
ENSG00000248909	HMGB1P21
ENSG00000248923	MTND5P11
ENSG00000248927	AC114284.1
ENSG00000248966	BCLAF1P1
ENSG00000248967	AC022493.2
ENSG00000249017	AC094108.1
ENSG00000249026	CTNNA1P1
ENSG00000249042	AC008771.1
ENSG00000249061	AC109492.1
ENSG00000249068	AC008417.1
ENSG00000249082	C5orf66-AS1
ENSG00000249119	MTND6P4
ENSG00000249150	AC010267.1
ENSG00000249167	SEMA6A-AS2
ENSG00000249180	AC020900.1
ENSG00000249249	AC010226.1
ENSG00000249349	AC114928.1
ENSG00000249353	NPM1P27
ENSG00000249426	AC093206.1
ENSG00000249438	KRT18P45
ENSG00000249444	AC114324.2
ENSG00000249476	AC008467.1
ENSG00000249483	AC026726.1
ENSG00000249494	AC008629.1
ENSG00000249621	AC113349.1
ENSG00000249639	AC022092.1
ENSG00000249655	AC008434.1
ENSG00000249761	AC074133.1
ENSG00000249768	HSPE1P10
ENSG00000249776	AC124854.1
ENSG00000249787	AC113385.1
ENSG00000249797	LINC02147
ENSG00000249803	AC112178.1
ENSG00000249825	AC012636.1
ENSG00000249835	VCAN-AS1
ENSG00000249921	AC034207.1
ENSG00000249947	XBP1P1
ENSG00000249996	PPIC-AS1
ENSG00000250015	AC018752.1
ENSG00000250045	CBX3P3
ENSG00000250049	AC114316.1
ENSG00000250095	NREP-AS1
ENSG00000250156	LINC02060
ENSG00000250158	AC099509.2
ENSG00000250162	CSNK1A1P3
ENSG00000250167	AC034206.1
ENSG00000250197	HMGN1P15
ENSG00000250221	KRT8P32
ENSG00000250240	AC008840.1
ENSG00000250244	AC010307.4
ENSG00000250258	AC008496.2
ENSG00000250284	AC109439.1
ENSG00000250320	EDIL3-DT
ENSG00000250328	AC022101.1
ENSG00000250329	KDELC1P1
ENSG00000250331	LINC01340
ENSG00000250348	AC113404.1
ENSG00000250383	AC008871.1
ENSG00000250437	LINC02161
ENSG00000250441	AC109481.2
ENSG00000250444	CCT5P1
ENSG00000250539	KRT8P33
ENSG00000250551	MIR583HG
ENSG00000250564	AC109454.3
ENSG00000250574	AC112173.1
ENSG00000250602	AC093535.1
ENSG00000250615	AC008581.1
ENSG00000250682	LINC00491
ENSG00000250802	ZBED3-AS1
ENSG00000250803	AC010255.3
ENSG00000250859	HNRNPKP1
ENSG00000250958	LINC00492
ENSG00000250994	AC005355.1
ENSG00000251000	GGCTP1
ENSG00000251027	LINC01950
ENSG00000251032	CUL1P1
ENSG00000251050	AC112184.1
ENSG00000251066	AC026700.1
ENSG00000251072	LMNB1-DT
ENSG00000251076	AC104126.1
ENSG00000251102	CTBP2P4
ENSG00000251118	H3P24
ENSG00000251201	TMED7-TICAM2
ENSG00000251204	AC027313.1
ENSG00000251221	LINC01337
ENSG00000251235	SNRPCP2
ENSG00000251293	AC008574.1
ENSG00000251314	AC104123.1
ENSG00000251340	MTCYBP35
ENSG00000251356	RAB5CP2
ENSG00000251361	AC012625.1
ENSG00000251374	AC010598.1
ENSG00000251389	YTHDF1P1
ENSG00000251400	ALDH7A1P1
ENSG00000251450	RASGRF2-AS1
ENSG00000251456	AC113398.2
ENSG00000251495	PPIAP11
ENSG00000251513	LIX1-AS1
ENSG00000251538	LINC02201
ENSG00000251542	LINC01957
ENSG00000251544	MTND5P12
ENSG00000251574	AC099520.1
ENSG00000251675	AC010260.1
ENSG00000251680	AC008591.1
ENSG00000251741	RNU4ATAC13P
ENSG00000252337	AC114940.2
ENSG00000253321	AC099554.1
ENSG00000253558	AC024568.1
ENSG00000253584	AC091987.1
ENSG00000253776	AC099520.2
ENSG00000253807	LINC01170
ENSG00000254170	AC008802.1
ENSG00000255647	AC093510.1
ENSG00000258864	AC008575.1
ENSG00000260192	LINC02240
ENSG00000260686	AC008669.1
ENSG00000260871	AC093510.2
ENSG00000263432	RN7SL689P
ENSG00000264342	MIR3660
ENSG00000264391	RN7SL208P
ENSG00000265684	RN7SL378P
ENSG00000266751	MIR3661
ENSG00000268223	ARL14EPL
ENSG00000270133	AC025766.1
ENSG00000270177	AC104109.2
ENSG00000270225	MTCO2P22
ENSG00000270232	MTCYBP22
ENSG00000270307	MTATP6P2
ENSG00000270388	MTCO3P22
ENSG00000270892	AC006077.1
ENSG00000270906	MTND4P35
ENSG00000271043	MTRNR2L2
ENSG00000271128	AC008608.1
ENSG00000271207	MTCO1P22
ENSG00000271687	MTND5P10
ENSG00000271737	AC008608.2
ENSG00000271797	AC008494.3
ENSG00000271824	SMIM32
ENSG00000271849	AC012603.1
ENSG00000271862	AC104118.1
ENSG00000271918	AC034236.2
ENSG00000272023	AC010240.4
ENSG00000272203	AC004775.1
ENSG00000272523	LINC01023
ENSG00000272772	AC104109.3
ENSG00000273217	AC008695.1
ENSG00000273345	AC104109.4
ENSG00000275939	AC008497.1
ENSG00000276426	AC093298.1
ENSG00000277818	AC093270.4
ENSG00000278815	AC005219.1
ENSG00000278921	EPB41L4A-DT
ENSG00000279118	AC093535.2
ENSG00000279232	AC008522.1
ENSG00000279584	AC005593.1
ENSG00000279691	AC113410.4
ENSG00000279799	AC006077.2
ENSG00000280009	AC020923.1
ENSG00000280420	AC005355.2
ENSG00000281357	ARRDC3-AS1
ENSG00000281938	AC034228.3
ENSG00000283498	MIR1244-2
ENSG00000283678	MIR6830
ENSG00000283782	AC116366.3
ENSG00000283897	AC011416.3
ENSG00000284078	SNORD138
ENSG00000284336	MIR2277
ENSG00000284447	MIR9-2
ENSG00000284762	AC022414.1
ENSG00000285000	AC008581.2
ENSG00000285190	AC018754.1
ENSG00000013561	RNF14
ENSG00000015479	MATR3
ENSG00000019582	CD74
ENSG00000022355	GABRA1
ENSG00000031003	FAM13B
ENSG00000037241	RPL26L1
ENSG00000037749	MFAP3
ENSG00000038274	MAT2B
ENSG00000039600	SOX30
ENSG00000040275	SPDL1
ENSG00000043462	LCP2
ENSG00000044115	CTNNA1
ENSG00000048140	TSPAN17
ENSG00000048162	NOP16
ENSG00000051596	THOC3
ENSG00000055147	FAM114A2
ENSG00000055163	CYFIP2
ENSG00000061492	WNT8A
ENSG00000070614	NDST1
ENSG00000070808	CAMK2A
ENSG00000070814	TCOF1
ENSG00000072571	HMMR
ENSG00000072786	STK10
ENSG00000072803	FBXW11
ENSG00000074276	CDHR2
ENSG00000074317	SNCB
ENSG00000078795	PKD2L2
ENSG00000081791	DELE1
ENSG00000081818	PCDHB4
ENSG00000081842	PCDHA6
ENSG00000082515	MRPL22
ENSG00000082516	GEMIN5
ENSG00000086570	FAT2
ENSG00000086589	RBM22
ENSG00000091009	RBM27
ENSG00000091010	POU4F3
ENSG00000094755	GABRP
ENSG00000094880	CDC23
ENSG00000112852	PCDHB2
ENSG00000112855	HARS2
ENSG00000112981	NME5
ENSG00000112983	BRD8
ENSG00000112984	KIF20A
ENSG00000113013	HSPA9
ENSG00000113068	PFDN1
ENSG00000113070	HBEGF
ENSG00000113073	SLC4A9
ENSG00000113108	APBB3
ENSG00000113119	TMCO6
ENSG00000113140	SPARC
